Timestamp,Total_Power_MW,AC_Transmission_MW,DC_Transmission_MW,Generator_Output_MW
2025-07-04 00:00:00,7242.29,6155.95,869.08,217.27
2025-07-04 00:05:00,7282.75,6190.34,873.93,218.48
2025-07-04 00:10:00,7023.23,5969.74,842.79,210.7
2025-07-04 00:15:00,7252.57,6164.69,870.31,217.58
2025-07-04 00:20:00,7337.56,6236.93,880.51,220.13
2025-07-04 00:25:00,7553.63,6420.59,906.44,226.61
2025-07-04 00:30:00,7131.58,6061.84,855.79,213.95
2025-07-04 00:35:00,7159.76,6085.8,859.17,214.79
2025-07-04 00:40:00,7346.4,6244.44,881.57,220.39
2025-07-04 00:45:00,7415.78,6303.42,889.89,222.47
2025-07-04 00:50:00,7365.62,6260.78,883.87,220.97
2025-07-04 00:55:00,7470.89,6350.25,896.51,224.13
2025-07-04 01:00:00,7501.13,6375.96,900.14,225.03
2025-07-04 01:05:00,7548.1,6415.89,905.77,226.44
2025-07-04 01:10:00,7246.59,6159.6,869.59,217.4
2025-07-04 01:15:00,7561.94,6427.65,907.43,226.86
2025-07-04 01:20:00,7482.62,6360.23,897.91,224.48
2025-07-04 01:25:00,7260.32,6171.28,871.24,217.81
2025-07-04 01:30:00,7188.58,6110.29,862.63,215.66
2025-07-04 01:35:00,7271.54,6180.81,872.58,218.15
2025-07-04 01:40:00,7375.65,6269.31,885.08,221.27
2025-07-04 01:45:00,7535.15,6404.88,904.22,226.05
2025-07-04 01:50:00,7756.73,6593.22,930.81,232.7
2025-07-04 01:55:00,7360.98,6256.83,883.32,220.83
2025-07-04 02:00:00,7395.79,6286.42,887.5,221.87
2025-07-04 02:05:00,7514.19,6387.06,901.7,225.43
2025-07-04 02:10:00,7350.98,6248.33,882.12,220.53
2025-07-04 02:15:00,7416.68,6304.17,890.0,222.5
2025-07-04 02:20:00,7132.49,6062.61,855.9,213.97
2025-07-04 02:25:00,7177.33,6100.73,861.28,215.32
2025-07-04 02:30:00,7213.3,6131.3,865.6,216.4
2025-07-04 02:35:00,7375.41,6269.1,885.05,221.26
2025-07-04 02:40:00,7100.34,6035.29,852.04,213.01
2025-07-04 02:45:00,7017.42,5964.81,842.09,210.52
2025-07-04 02:50:00,7037.3,5981.7,844.48,211.12
2025-07-04 02:55:00,7176.48,6100.01,861.18,215.29
2025-07-04 03:00:00,7278.98,6187.13,873.48,218.37
2025-07-04 03:05:00,7023.85,5970.27,842.86,210.72
2025-07-04 03:10:00,7066.16,6006.23,847.94,211.98
2025-07-04 03:15:00,7049.75,5992.29,845.97,211.49
2025-07-04 03:20:00,7031.61,5976.87,843.79,210.95
2025-07-04 03:25:00,7241.17,6155.0,868.94,217.24
2025-07-04 03:30:00,7070.62,6010.03,848.47,212.12
2025-07-04 03:35:00,6920.3,5882.25,830.44,207.61
2025-07-04 03:40:00,6969.64,5924.19,836.36,209.09
2025-07-04 03:45:00,7011.34,5959.64,841.36,210.34
2025-07-04 03:50:00,6792.17,5773.35,815.06,203.77
2025-07-04 03:55:00,6929.7,5890.25,831.56,207.89
2025-07-04 04:00:00,7057.15,5998.58,846.86,211.71
2025-07-04 04:05:00,7004.32,5953.67,840.52,210.13
2025-07-04 04:10:00,6532.59,5552.7,783.91,195.98
2025-07-04 04:15:00,6844.66,5817.96,821.36,205.34
2025-07-04 04:20:00,6759.37,5745.46,811.12,202.78
2025-07-04 04:25:00,6660.07,5661.06,799.21,199.8
2025-07-04 04:30:00,6958.22,5914.48,834.99,208.75
2025-07-04 04:35:00,6984.39,5936.73,838.13,209.53
2025-07-04 04:40:00,6980.01,5933.01,837.6,209.4
2025-07-04 04:45:00,6967.51,5922.39,836.1,209.03
2025-07-04 04:50:00,6847.85,5820.67,821.74,205.44
