Timestamp,Total_Power_MW,AC_Transmission_MW,DC_Transmission_MW,Generator_Output_MW
2025-07-04 00:00:00,6082.15,5169.83,729.86,182.46
2025-07-04 00:05:00,5766.53,4901.55,691.98,173.0
2025-07-04 00:10:00,6093.55,5179.52,731.23,182.81
2025-07-04 00:15:00,6163.11,5238.64,739.57,184.89
2025-07-04 00:20:00,6023.2,5119.72,722.78,180.7
2025-07-04 00:25:00,5712.63,4855.74,685.52,171.38
2025-07-04 00:30:00,6234.35,5299.2,748.12,187.03
2025-07-04 00:35:00,6307.7,5361.54,756.92,189.23
2025-07-04 00:40:00,6442.74,5476.33,773.13,193.28
2025-07-04 00:45:00,5900.85,5015.72,708.1,177.03
2025-07-04 00:50:00,6200.73,5270.62,744.09,186.02
2025-07-04 00:55:00,6288.05,5344.85,754.57,188.64
2025-07-04 01:00:00,6343.04,5391.59,761.17,190.29
2025-07-04 01:05:00,6122.78,5204.37,734.73,183.68
2025-07-04 01:10:00,6237.04,5301.48,748.44,187.11
2025-07-04 01:15:00,6044.73,5138.02,725.37,181.34
2025-07-04 01:20:00,6385.91,5428.02,766.31,191.58
2025-07-04 01:25:00,6275.89,5334.51,753.11,188.28
2025-07-04 01:30:00,6349.59,5397.15,761.95,190.49
2025-07-04 01:35:00,6631.8,5637.03,795.82,198.95
2025-07-04 01:40:00,6403.29,5442.8,768.4,192.1
2025-07-04 01:45:00,6029.4,5124.99,723.53,180.88
2025-07-04 01:50:00,6335.7,5385.34,760.28,190.07
2025-07-04 01:55:00,6183.93,5256.34,742.07,185.52
2025-07-04 02:00:00,6561.93,5577.64,787.43,196.86
2025-07-04 02:05:00,6153.63,5230.59,738.44,184.61
2025-07-04 02:10:00,6134.67,5214.47,736.16,184.04
2025-07-04 02:15:00,6221.41,5288.2,746.57,186.64
2025-07-04 02:20:00,6077.82,5166.15,729.34,182.33
2025-07-04 02:25:00,6428.72,5464.41,771.45,192.86
2025-07-04 02:30:00,6082.54,5170.16,729.9,182.48
2025-07-04 02:35:00,6028.29,5124.04,723.39,180.85
2025-07-04 02:40:00,5938.23,5047.5,712.59,178.15
2025-07-04 02:45:00,6244.45,5307.78,749.33,187.33
2025-07-04 02:50:00,6340.68,5389.58,760.88,190.22
2025-07-04 02:55:00,6097.55,5182.91,731.71,182.93
2025-07-04 03:00:00,6495.16,5520.89,779.42,194.85
2025-07-04 03:05:00,5786.08,4918.17,694.33,173.58
2025-07-04 03:10:00,6007.07,5106.01,720.85,180.21
2025-07-04 03:15:00,6009.79,5108.32,721.17,180.29
2025-07-04 03:20:00,5927.69,5038.54,711.32,177.83
2025-07-04 03:25:00,6047.58,5140.44,725.71,181.43
2025-07-04 03:30:00,5911.83,5025.05,709.42,177.35
2025-07-04 03:35:00,5524.67,4695.97,662.96,165.74
2025-07-04 03:40:00,5823.91,4950.32,698.87,174.72
2025-07-04 03:45:00,5658.42,4809.66,679.01,169.75
2025-07-04 03:50:00,5741.61,4880.37,688.99,172.25
2025-07-04 03:55:00,5749.68,4887.22,689.96,172.49
2025-07-04 04:00:00,5743.18,4881.7,689.18,172.3
2025-07-04 04:05:00,5788.33,4920.08,694.6,173.65
2025-07-04 04:10:00,5792.33,4923.48,695.08,173.77
2025-07-04 04:15:00,5523.41,4694.89,662.81,165.7
2025-07-04 04:20:00,5729.52,4870.09,687.54,171.89
2025-07-04 04:25:00,5639.87,4793.89,676.78,169.2
2025-07-04 04:30:00,5865.42,4985.61,703.85,175.96
2025-07-04 04:35:00,5536.03,4705.62,664.32,166.08
2025-07-04 04:40:00,5952.29,5059.44,714.27,178.57
2025-07-04 04:45:00,5647.18,4800.1,677.66,169.42
2025-07-04 04:50:00,5742.26,4880.92,689.07,172.27
2025-07-04 04:55:00,5706.67,4850.67,684.8,171.2
2025-07-04 05:00:00,5759.4,4895.49,691.13,172.78
2025-07-04 05:05:00,5803.3,4932.81,696.4,174.1
2025-07-04 05:10:00,5823.16,4949.69,698.78,174.69
2025-07-04 05:15:00,6371.0,5415.35,764.52,191.13
2025-07-04 05:20:00,5754.05,4890.94,690.49,172.62
2025-07-04 05:25:00,5878.32,4996.57,705.4,176.35
2025-07-04 05:30:00,5866.33,4986.38,703.96,175.99
2025-07-04 05:35:00,5832.83,4957.91,699.94,174.98
2025-07-04 05:40:00,5994.22,5095.08,719.31,179.83
2025-07-04 05:45:00,5836.33,4960.88,700.36,175.09
2025-07-04 05:50:00,6268.11,5327.9,752.17,188.04
2025-07-04 05:55:00,5829.79,4955.32,699.58,174.89
2025-07-04 06:00:00,6194.95,5265.71,743.39,185.85
2025-07-04 06:05:00,6060.47,5151.4,727.26,181.81
2025-07-04 06:10:00,6034.59,5129.4,724.15,181.04
2025-07-04 06:15:00,6207.67,5276.52,744.92,186.23
2025-07-04 06:20:00,6027.0,5122.95,723.24,180.81
2025-07-04 06:25:00,6236.64,5301.15,748.4,187.1
2025-07-04 06:30:00,6219.81,5286.84,746.38,186.59
2025-07-04 06:35:00,6144.75,5223.03,737.37,184.34
2025-07-04 06:40:00,6095.42,5181.11,731.45,182.86
2025-07-04 06:45:00,6448.6,5481.31,773.83,193.46
2025-07-04 06:50:00,6450.94,5483.3,774.11,193.53
2025-07-04 06:55:00,6426.82,5462.79,771.22,192.8
2025-07-04 07:00:00,6317.24,5369.65,758.07,189.52
2025-07-04 07:05:00,6435.23,5469.95,772.23,193.06
2025-07-04 07:10:00,6385.76,5427.9,766.29,191.57
2025-07-04 07:15:00,6473.01,5502.06,776.76,194.19
2025-07-04 07:20:00,6621.52,5628.29,794.58,198.65
2025-07-04 07:25:00,6258.61,5319.82,751.03,187.76
2025-07-04 07:30:00,6374.31,5418.16,764.92,191.23
2025-07-04 07:35:00,6328.58,5379.29,759.43,189.86
2025-07-04 07:40:00,6391.55,5432.82,766.99,191.75
2025-07-04 07:45:00,6397.19,5437.61,767.66,191.92
2025-07-04 07:50:00,6595.48,5606.16,791.46,197.86
2025-07-04 07:55:00,6425.67,5461.82,771.08,192.77
2025-07-04 08:00:00,6630.07,5635.56,795.61,198.9
2025-07-04 08:05:00,6287.86,5344.68,754.54,188.64
2025-07-04 08:10:00,6389.55,5431.12,766.75,191.69
2025-07-04 08:15:00,6701.41,5696.19,804.17,201.04
2025-07-04 08:20:00,6496.3,5521.86,779.56,194.89
2025-07-04 08:25:00,6764.5,5749.82,811.74,202.93
2025-07-04 08:30:00,6415.19,5452.91,769.82,192.46
2025-07-04 08:35:00,6277.77,5336.11,753.33,188.33
2025-07-04 08:40:00,6689.53,5686.1,802.74,200.69
2025-07-04 08:45:00,6476.74,5505.23,777.21,194.3
2025-07-04 08:50:00,6559.58,5575.64,787.15,196.79
2025-07-04 08:55:00,6743.18,5731.71,809.18,202.3
2025-07-04 09:00:00,6681.74,5679.48,801.81,200.45
2025-07-04 09:05:00,6580.64,5593.54,789.68,197.42
2025-07-04 09:10:00,6494.86,5520.63,779.38,194.85
2025-07-04 09:15:00,6596.03,5606.62,791.52,197.88
2025-07-04 09:20:00,6809.9,5788.41,817.19,204.3
2025-07-04 09:25:00,6697.17,5692.59,803.66,200.92
2025-07-04 09:30:00,6660.33,5661.28,799.24,199.81
2025-07-04 09:35:00,6527.45,5548.33,783.29,195.82
2025-07-04 09:40:00,7070.73,6010.12,848.49,212.12
2025-07-04 09:45:00,6970.42,5924.85,836.45,209.11
2025-07-04 09:50:00,6682.66,5680.26,801.92,200.48
2025-07-04 09:55:00,6737.44,5726.83,808.49,202.12
2025-07-04 10:00:00,6818.03,5795.32,818.16,204.54
2025-07-04 10:05:00,7050.03,5992.53,846.0,211.5
2025-07-04 10:10:00,6596.58,5607.09,791.59,197.9
2025-07-04 10:15:00,6728.78,5719.47,807.45,201.86
2025-07-04 10:20:00,6833.26,5808.27,819.99,205.0
2025-07-04 10:25:00,6929.05,5889.7,831.49,207.87
2025-07-04 10:30:00,6751.97,5739.17,810.24,202.56
2025-07-04 10:35:00,6625.5,5631.68,795.06,198.77
2025-07-04 10:40:00,7012.55,5960.67,841.51,210.38
2025-07-04 10:45:00,7121.56,6053.33,854.59,213.65
2025-07-04 10:50:00,7023.29,5969.8,842.79,210.7
2025-07-04 10:55:00,7043.64,5987.09,845.24,211.31
2025-07-04 11:00:00,7006.14,5955.22,840.74,210.18
2025-07-04 11:05:00,6962.44,5918.07,835.49,208.87
2025-07-04 11:10:00,6995.65,5946.31,839.48,209.87
2025-07-04 11:15:00,7470.7,6350.1,896.48,224.12
2025-07-04 11:20:00,7197.7,6118.05,863.72,215.93
2025-07-04 11:25:00,7050.59,5993.0,846.07,211.52
2025-07-04 11:30:00,7305.28,6209.49,876.63,219.16
2025-07-04 11:35:00,7347.42,6245.3,881.69,220.42
2025-07-04 11:40:00,7335.3,6235.01,880.24,220.06
2025-07-04 11:45:00,7315.38,6218.08,877.85,219.46
2025-07-04 11:50:00,7211.8,6130.03,865.42,216.35
2025-07-04 11:55:00,7199.57,6119.64,863.95,215.99
2025-07-04 12:00:00,7326.09,6227.18,879.13,219.78
2025-07-04 12:05:00,7524.82,6396.09,902.98,225.74
2025-07-04 12:10:00,7587.51,6449.38,910.5,227.63
2025-07-04 12:15:00,7141.15,6069.98,856.94,214.23
2025-07-04 12:20:00,7652.44,6504.58,918.29,229.57
2025-07-04 12:25:00,7876.25,6694.82,945.15,236.29
2025-07-04 12:30:00,7648.45,6501.18,917.81,229.45
2025-07-04 12:35:00,7250.6,6163.01,870.07,217.52
2025-07-04 12:40:00,7468.94,6348.6,896.27,224.07
2025-07-04 12:45:00,7546.87,6414.84,905.62,226.41
2025-07-04 12:50:00,7606.39,6465.43,912.77,228.19
2025-07-04 12:55:00,7613.19,6471.21,913.58,228.4
2025-07-04 13:00:00,7712.7,6555.8,925.52,231.38
