Timestamp,Total_Power_MW,AC_Transmission_MW,DC_Transmission_MW,Generator_Output_MW
2025-07-04 00:00:00,3234.49,2749.31,388.14,97.03
2025-07-04 00:05:00,3225.33,2741.53,387.04,96.76
2025-07-04 00:10:00,3023.67,2570.12,362.84,90.71
2025-07-04 00:15:00,3065.66,2605.81,367.88,91.97
2025-07-04 00:20:00,3154.5,2681.32,378.54,94.63
2025-07-04 00:25:00,3232.41,2747.55,387.89,96.97
2025-07-04 00:30:00,3354.29,2851.15,402.51,100.63
2025-07-04 00:35:00,3360.41,2856.35,403.25,100.81
2025-07-04 00:40:00,3316.16,2818.74,397.94,99.48
2025-07-04 00:45:00,3353.12,2850.15,402.37,100.59
2025-07-04 00:50:00,3316.95,2819.4,398.03,99.51
2025-07-04 00:55:00,3296.21,2801.78,395.55,98.89
2025-07-04 01:00:00,3375.75,2869.39,405.09,101.27
2025-07-04 01:05:00,3346.82,2844.8,401.62,100.4
2025-07-04 01:10:00,3349.59,2847.15,401.95,100.49
2025-07-04 01:15:00,3279.75,2787.78,393.57,98.39
2025-07-04 01:20:00,3300.38,2805.32,396.05,99.01
2025-07-04 01:25:00,3394.64,2885.45,407.36,101.84
2025-07-04 01:30:00,3286.93,2793.89,394.43,98.61
2025-07-04 01:35:00,3321.05,2822.89,398.53,99.63
2025-07-04 01:40:00,3252.8,2764.88,390.34,97.58
2025-07-04 01:45:00,3293.28,2799.28,395.19,98.8
2025-07-04 01:50:00,3285.74,2792.88,394.29,98.57
2025-07-04 01:55:00,3150.22,2677.69,378.03,94.51
2025-07-04 02:00:00,3432.22,2917.39,411.87,102.97
2025-07-04 02:05:00,3524.13,2995.51,422.9,105.72
2025-07-04 02:10:00,3069.53,2609.1,368.34,92.09
2025-07-04 02:15:00,3234.42,2749.25,388.13,97.03
2025-07-04 02:20:00,3299.47,2804.55,395.94,98.98
2025-07-04 02:25:00,3417.22,2904.63,410.07,102.52
2025-07-04 02:30:00,3244.12,2757.5,389.29,97.32
2025-07-04 02:35:00,3234.79,2749.57,388.18,97.04
2025-07-04 02:40:00,3172.78,2696.87,380.73,95.18
2025-07-04 02:45:00,3209.21,2727.83,385.11,96.28
2025-07-04 02:50:00,3166.11,2691.2,379.93,94.98
2025-07-04 02:55:00,3214.6,2732.41,385.75,96.44
2025-07-04 03:00:00,3370.53,2864.95,404.46,101.12
2025-07-04 03:05:00,3090.22,2626.69,370.83,92.71
2025-07-04 03:10:00,3076.14,2614.72,369.14,92.28
2025-07-04 03:15:00,3127.21,2658.13,375.27,93.82
2025-07-04 03:20:00,3156.65,2683.16,378.8,94.7
2025-07-04 03:25:00,3163.35,2688.85,379.6,94.9
2025-07-04 03:30:00,3067.65,2607.5,368.12,92.03
2025-07-04 03:35:00,3057.09,2598.52,366.85,91.71
2025-07-04 03:40:00,2958.06,2514.35,354.97,88.74
2025-07-04 03:45:00,3066.3,2606.35,367.96,91.99
2025-07-04 03:50:00,3015.1,2562.83,361.81,90.45
2025-07-04 03:55:00,3088.09,2624.88,370.57,92.64
2025-07-04 04:00:00,3086.62,2623.62,370.39,92.6
2025-07-04 04:05:00,2995.65,2546.3,359.48,89.87
2025-07-04 04:10:00,3085.49,2622.67,370.26,92.56
2025-07-04 04:15:00,2902.4,2467.04,348.29,87.07
2025-07-04 04:20:00,3033.37,2578.37,364.0,91.0
2025-07-04 04:25:00,3044.44,2587.78,365.33,91.33
2025-07-04 04:30:00,2993.47,2544.45,359.22,89.8
2025-07-04 04:35:00,3117.51,2649.88,374.1,93.53
2025-07-04 04:40:00,2980.36,2533.3,357.64,89.41
2025-07-04 04:45:00,2945.13,2503.36,353.42,88.35
2025-07-04 04:50:00,2902.4,2467.04,348.29,87.07
2025-07-04 04:55:00,2902.4,2467.04,348.29,87.07
2025-07-04 05:00:00,2965.84,2520.96,355.9,88.98
2025-07-04 05:05:00,2902.4,2467.04,348.29,87.07
2025-07-04 05:10:00,2960.58,2516.49,355.27,88.82
2025-07-04 05:15:00,3056.54,2598.06,366.78,91.7
2025-07-04 05:20:00,2990.74,2542.13,358.89,89.72
2025-07-04 05:25:00,3050.47,2592.9,366.06,91.51
2025-07-04 05:30:00,3021.09,2567.93,362.53,90.63
2025-07-04 05:35:00,3116.62,2649.13,373.99,93.5
2025-07-04 05:40:00,3043.96,2587.36,365.27,91.32
2025-07-04 05:45:00,3115.69,2648.34,373.88,93.47
2025-07-04 05:50:00,3206.07,2725.16,384.73,96.18
2025-07-04 05:55:00,3218.34,2735.59,386.2,96.55
2025-07-04 06:00:00,3314.5,2817.33,397.74,99.44
2025-07-04 06:05:00,3171.4,2695.69,380.57,95.14
2025-07-04 06:10:00,3170.0,2694.5,380.4,95.1
2025-07-04 06:15:00,3192.63,2713.74,383.12,95.78
2025-07-04 06:20:00,3132.17,2662.34,375.86,93.97
2025-07-04 06:25:00,3279.32,2787.42,393.52,98.38
2025-07-04 06:30:00,3070.63,2610.04,368.48,92.12
2025-07-04 06:35:00,3175.01,2698.76,381.0,95.25
2025-07-04 06:40:00,3378.17,2871.45,405.38,101.35
2025-07-04 06:45:00,3384.3,2876.66,406.12,101.53
2025-07-04 06:50:00,3204.1,2723.49,384.49,96.12
2025-07-04 06:55:00,3461.77,2942.5,415.41,103.85
2025-07-04 07:00:00,3274.47,2783.3,392.94,98.23
2025-07-04 07:05:00,3414.58,2902.39,409.75,102.44
2025-07-04 07:10:00,3149.84,2677.36,377.98,94.5
2025-07-04 07:15:00,3273.29,2782.3,392.79,98.2
2025-07-04 07:20:00,3312.76,2815.85,397.53,99.38
2025-07-04 07:25:00,3316.75,2819.23,398.01,99.5
2025-07-04 07:30:00,3545.43,3013.62,425.45,106.36
2025-07-04 07:35:00,3446.41,2929.45,413.57,103.39
2025-07-04 07:40:00,3564.5,3029.82,427.74,106.93
2025-07-04 07:45:00,3390.27,2881.73,406.83,101.71
2025-07-04 07:50:00,3481.56,2959.33,417.79,104.45
2025-07-04 07:55:00,3532.14,3002.32,423.86,105.96
2025-07-04 08:00:00,3486.54,2963.56,418.38,104.6
2025-07-04 08:05:00,3444.46,2927.79,413.34,103.33
2025-07-04 08:10:00,3536.05,3005.64,424.33,106.08
2025-07-04 08:15:00,3365.64,2860.8,403.88,100.97
2025-07-04 08:20:00,3548.24,3016.01,425.79,106.45
2025-07-04 08:25:00,3564.85,3030.12,427.78,106.95
2025-07-04 08:30:00,3544.13,3012.51,425.3,106.32
2025-07-04 08:35:00,3567.15,3032.08,428.06,107.01
2025-07-04 08:40:00,3346.01,2844.11,401.52,100.38
2025-07-04 08:45:00,3617.09,3074.53,434.05,108.51
2025-07-04 08:50:00,3523.13,2994.66,422.78,105.69
2025-07-04 08:55:00,3507.84,2981.67,420.94,105.24
2025-07-04 09:00:00,3432.64,2917.75,411.92,102.98
2025-07-04 09:05:00,3515.33,2988.03,421.84,105.46
2025-07-04 09:10:00,3344.24,2842.6,401.31,100.33
2025-07-04 09:15:00,3536.81,3006.29,424.42,106.1
2025-07-04 09:20:00,3501.3,2976.1,420.16,105.04
2025-07-04 09:25:00,3481.64,2959.39,417.8,104.45
2025-07-04 09:30:00,3461.45,2942.23,415.37,103.84
2025-07-04 09:35:00,3417.73,2905.07,410.13,102.53
2025-07-04 09:40:00,3478.98,2957.13,417.48,104.37
2025-07-04 09:45:00,3385.01,2877.26,406.2,101.55
2025-07-04 09:50:00,3694.46,3140.29,443.33,110.83
2025-07-04 09:55:00,3499.46,2974.54,419.94,104.98
2025-07-04 10:00:00,3632.77,3087.86,435.93,108.98
2025-07-04 10:05:00,3640.36,3094.3,436.84,109.21
2025-07-04 10:10:00,3767.32,3202.22,452.08,113.02
2025-07-04 10:15:00,3693.01,3139.06,443.16,110.79
2025-07-04 10:20:00,3628.06,3083.85,435.37,108.84
2025-07-04 10:25:00,3665.9,3116.02,439.91,109.98
2025-07-04 10:30:00,3641.25,3095.06,436.95,109.24
2025-07-04 10:35:00,3662.02,3112.72,439.44,109.86
2025-07-04 10:40:00,3789.72,3221.26,454.77,113.69
2025-07-04 10:45:00,3493.33,2969.33,419.2,104.8
2025-07-04 10:50:00,3658.82,3110.0,439.06,109.76
2025-07-04 10:55:00,3718.83,3161.01,446.26,111.56
2025-07-04 11:00:00,3815.46,3243.14,457.86,114.46
2025-07-04 11:05:00,3537.87,3007.19,424.54,106.14
2025-07-04 11:10:00,3621.27,3078.08,434.55,108.64
2025-07-04 11:15:00,3728.8,3169.48,447.46,111.86
2025-07-04 11:20:00,3797.58,3227.94,455.71,113.93
2025-07-04 11:25:00,3630.02,3085.52,435.6,108.9
2025-07-04 11:30:00,3699.98,3144.98,444.0,111.0
2025-07-04 11:35:00,3769.45,3204.03,452.33,113.08
2025-07-04 11:40:00,3760.93,3196.79,451.31,112.83
2025-07-04 11:45:00,3852.65,3274.75,462.32,115.58
2025-07-04 11:50:00,3713.73,3156.67,445.65,111.41
2025-07-04 11:55:00,3904.81,3319.09,468.58,117.14
2025-07-04 12:00:00,3829.67,3255.22,459.56,114.89
2025-07-04 12:05:00,3998.77,3398.95,479.85,119.96
