Timestamp,Total_Power_MW,AC_Transmission_MW,DC_Transmission_MW,Generator_Output_MW
2025-07-04 00:00:00,19342.09,16440.78,2321.05,580.26
2025-07-04 00:05:00,18926.66,16087.66,2271.2,567.8
2025-07-04 00:10:00,18609.19,15817.81,2233.1,558.28
2025-07-04 00:15:00,19184.56,16306.88,2302.15,575.54
2025-07-04 00:20:00,19046.37,16189.41,2285.56,571.39
2025-07-04 00:25:00,19760.8,16796.68,2371.3,592.82
2025-07-04 00:30:00,19928.95,16939.6,2391.47,597.87
2025-07-04 00:35:00,19684.58,16731.89,2362.15,590.54
2025-07-04 00:40:00,19346.88,16444.85,2321.63,580.41
2025-07-04 00:45:00,18201.86,15471.58,2184.22,546.06
2025-07-04 00:50:00,20052.79,17044.87,2406.34,601.58
2025-07-04 00:55:00,18802.4,15982.04,2256.29,564.07
2025-07-04 01:00:00,18670.85,15870.23,2240.5,560.13
2025-07-04 01:05:00,19439.9,16523.92,2332.79,583.2
2025-07-04 01:10:00,18862.2,16032.87,2263.46,565.87
2025-07-04 01:15:00,20135.45,17115.13,2416.25,604.06
2025-07-04 01:20:00,19556.0,16622.6,2346.72,586.68
2025-07-04 01:25:00,19652.12,16704.3,2358.25,589.56
2025-07-04 01:30:00,19825.67,16851.82,2379.08,594.77
2025-07-04 01:35:00,19832.37,16857.51,2379.88,594.97
2025-07-04 01:40:00,19930.23,16940.69,2391.63,597.91
2025-07-04 01:45:00,19684.99,16732.24,2362.2,590.55
2025-07-04 01:50:00,19043.75,16187.19,2285.25,571.31
2025-07-04 01:55:00,19044.49,16187.82,2285.34,571.33
2025-07-04 02:00:00,18937.84,16097.17,2272.54,568.14
2025-07-04 02:05:00,19096.77,16232.25,2291.61,572.9
2025-07-04 02:10:00,19537.67,16607.02,2344.52,586.13
2025-07-04 02:15:00,19432.83,16517.91,2331.94,582.99
2025-07-04 02:20:00,19952.03,16959.23,2394.24,598.56
2025-07-04 02:25:00,18847.79,16020.62,2261.74,565.43
2025-07-04 02:30:00,19192.56,16313.67,2303.11,575.78
2025-07-04 02:35:00,19290.08,16396.57,2314.81,578.7
2025-07-04 02:40:00,19155.82,16282.45,2298.7,574.67
2025-07-04 02:45:00,19289.53,16396.1,2314.74,578.69
2025-07-04 02:50:00,18827.92,16003.73,2259.35,564.84
2025-07-04 02:55:00,18816.51,15994.04,2257.98,564.5
2025-07-04 03:00:00,19088.67,16225.37,2290.64,572.66
2025-07-04 03:05:00,18052.83,15344.9,2166.34,541.58
2025-07-04 03:10:00,17513.52,14886.49,2101.62,525.41
2025-07-04 03:15:00,19013.02,16161.07,2281.56,570.39
2025-07-04 03:20:00,17761.8,15097.53,2131.42,532.85
2025-07-04 03:25:00,19186.36,16308.41,2302.36,575.59
2025-07-04 03:30:00,18418.92,15656.08,2210.27,552.57
2025-07-04 03:35:00,18048.92,15341.58,2165.87,541.47
2025-07-04 03:40:00,18154.4,15431.24,2178.53,544.63
2025-07-04 03:45:00,18637.71,15842.06,2236.53,559.13
2025-07-04 03:50:00,18107.9,15391.72,2172.95,543.24
2025-07-04 03:55:00,17437.88,14822.19,2092.55,523.14
2025-07-04 04:00:00,18648.0,15850.8,2237.76,559.44
2025-07-04 04:05:00,17938.16,15247.44,2152.58,538.14
2025-07-04 04:10:00,17117.62,14549.98,2054.11,513.53
2025-07-04 04:15:00,17929.79,15240.32,2151.57,537.89
2025-07-04 04:20:00,17913.79,15226.73,2149.66,537.41
2025-07-04 04:25:00,18122.92,15404.49,2174.75,543.69
2025-07-04 04:30:00,17912.04,15225.23,2149.44,537.36
2025-07-04 04:35:00,17812.36,15140.51,2137.48,534.37
2025-07-04 04:40:00,17272.03,14681.23,2072.64,518.16
2025-07-04 04:45:00,17290.1,14696.59,2074.81,518.7
2025-07-04 04:50:00,17263.73,14674.17,2071.65,517.91
2025-07-04 04:55:00,18198.02,15468.32,2183.76,545.94
2025-07-04 05:00:00,17961.67,15267.42,2155.4,538.85
2025-07-04 05:05:00,18077.26,15365.67,2169.27,542.32
2025-07-04 05:10:00,17299.43,14704.51,2075.93,518.98
2025-07-04 05:15:00,17920.68,15232.58,2150.48,537.62
2025-07-04 05:20:00,17852.36,15174.5,2142.28,535.57
2025-07-04 05:25:00,17638.48,14992.71,2116.62,529.15
2025-07-04 05:30:00,18243.73,15507.17,2189.25,547.31
2025-07-04 05:35:00,17693.49,15039.46,2123.22,530.8
2025-07-04 05:40:00,18022.83,15319.4,2162.74,540.68
2025-07-04 05:45:00,18254.18,15516.06,2190.5,547.63
2025-07-04 05:50:00,18368.86,15613.53,2204.26,551.07
2025-07-04 05:55:00,18772.41,15956.55,2252.69,563.17
2025-07-04 06:00:00,19481.27,16559.08,2337.75,584.44
2025-07-04 06:05:00,18732.57,15922.69,2247.91,561.98
2025-07-04 06:10:00,18540.93,15759.79,2224.91,556.23
2025-07-04 06:15:00,19683.48,16730.96,2362.02,590.5
2025-07-04 06:20:00,19685.74,16732.88,2362.29,590.57
2025-07-04 06:25:00,18994.51,16145.33,2279.34,569.84
2025-07-04 06:30:00,19519.41,16591.5,2342.33,585.58
